player_id,player_name,draft_year,pick_number,college,position,tankathon_position,tankathon_class,college_pos,college_season,class_year,tankathon_age,tankathon_source_rank,measurement_source,college_stats_source,prospect_archetype,size_bucket,height_wo_shoes,weight,wingspan,wingspan_height_diff,position_name,projected_nba_position,model_label,college_mpg,college_ppg,college_rpg,college_apg,college_spg,college_bpg,college_tov,college_usg_pct,college_ast_pct,college_tov_pct,college_stl_pct,college_blk_pct,college_orb_pct,college_drb_pct,college_ts_pct,college_bpm,college_obpm,college_dbpm,college_fg_pct,college_fg2_pct,college_fg3_pct,college_sos,college_fg3a_rate,college_ftr,college_ft_pct,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
2026028,Meleek Thomas,2026,28,Arkansas,1.0,SG/PG,Freshman,SG/PG,2025-26,FR,19.9,28,Sporting News 2026 combine measurements,Sports-Reference,offensive_wing,guard,75.0,189.0,78.75,3.75,SG,SG,calibrated,30.5,15.6,3.8,2.5,1.5,0.2,1.0,23.6,13.2,6.7,2.8,0.6,3.5,10.8,0.559,7.0,4.8,2.3,0.435,0.448,0.416,12.32,0.422,0.231,0.843,True,,0.11536973111215099,0.7195799766783683,0.16505029220948073,0.884630268887849,1.0,ROT+
2026009,Mikel Brown Jr.,2026,9,Louisville,0.0,PG,Freshman,PG,2025-26,FR,20.2,9,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,guard,75.5,190.0,79.5,4.0,PG,PG,calibrated,29.2,18.2,3.3,4.7,1.2,0.1,3.1,31.4,30.3,16.4,2.4,0.5,0.2,12.1,0.577,6.6,4.9,1.7,0.41,0.504,0.344,10.7,0.586,0.447,0.844,True,,0.21668322245336302,0.6263141857319288,0.15700259181470816,0.783316777546637,1.0,ROT+
2026024,Ebuka Okorie,2026,24,Stanford,0.0,PG,Freshman,PG,2025-26,FR,19.2,24,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,small_guard,73.25,186.0,79.75,6.5,PG,PG,calibrated,35.1,23.2,3.6,3.6,1.6,0.3,1.9,31.0,23.9,8.7,2.7,1.0,2.4,10.3,0.589,10.6,8.4,2.2,0.465,0.526,0.354,8.89,0.354,0.449,0.832,True,,0.10571230404221232,0.7429074847424424,0.15138021121534534,0.8942876959577877,1.0,ROT+
2026007,Kingston Flemings,2026,7,Houston,0.0,PG,Freshman,PG,2025-26,FR,19.5,7,Sporting News 2026 combine measurements,Sports-Reference,primary_creator,small_guard,74.5,183.0,75.5,1.0,PG,PG,calibrated,31.7,16.1,4.1,5.2,1.5,0.3,1.8,26.0,32.6,11.1,3.0,1.3,1.8,12.9,0.563,12.6,6.6,6.0,0.476,0.503,0.387,11.7,0.227,0.277,0.845,True,,0.24530871188094283,0.6340162829043462,0.12067500521471101,0.7546912881190572,1.0,ROT+
2026002,Darryn Peterson,2026,2,Kansas,1.0,SG/PG,Freshman,SG/PG,2025-26,FR,19.4,2,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,guard,76.5,199.0,81.75,5.25,SG,SG,calibrated,29.0,20.2,4.2,1.6,1.4,0.6,1.6,33.5,12.5,8.3,2.9,2.3,2.8,11.8,0.578,14.1,9.3,4.8,0.438,0.487,0.382,14.36,0.463,0.371,0.826,True,,0.09595848221662084,0.7842698999254238,0.1197716178579553,0.9040415177833792,1.0,ROT+
2026019,Jayden Quaintance,2026,19,Kentucky,3.0,PF/C,Sophomore,PF/C,2025-26,SO,18.9,19,Sporting News 2026 combine measurements,Sports-Reference,rim_runner,forward_big,81.0,253.0,89.25,8.25,PF,PF,calibrated,27.7,8.8,7.5,1.4,1.0,2.4,1.9,18.5,10.2,18.4,2.1,9.4,11.9,18.5,0.533,6.1,1.5,4.6,0.529,0.597,0.188,12.96,0.168,0.44,0.452,True,,0.445709573459527,0.4352611160047446,0.11902931053572838,0.554290426540473,1.0,ROT+
2026004,Caleb Wilson,2026,4,North Carolina,2.0,SF/PF,Freshman,SF/PF,2025-26,FR,19.9,4,Sporting News 2026 combine measurements,Sports-Reference,two_way_wing,forward_big,81.25,211.0,84.25,3.0,SF,SF,calibrated,31.3,19.8,9.4,2.7,1.5,1.4,2.0,28.7,18.1,11.0,2.8,4.4,10.5,22.2,0.626,14.0,8.7,5.3,0.578,0.61,0.259,10.46,0.092,0.616,0.713,True,,0.09341497419906641,0.7878789072612642,0.1187061185396694,0.9065850258009336,1.0,ROT+
2026015,Aday Mara,2026,15,Michigan,4.0,C,Junior,C,2025-26,JR,21.2,15,Sporting News 2026 combine measurements,Sports-Reference,rim_runner,center,87.0,260.0,90.0,3.0,C,C,calibrated,16.2,7.8,4.5,1.4,0.2,1.7,1.2,23.7,17.4,16.3,0.8,13.0,11.6,20.3,0.614,11.5,4.7,6.8,0.61,0.616,0.3,15.1,0.019,0.454,0.585,True,,0.3044305881266842,0.5779530679599507,0.11761634391336506,0.6955694118733158,1.0,ROT+
2026010,Nate Ament,2026,10,Tennessee,2.0,SF,Freshman,SF,2025-26,FR,19.5,10,Sporting News 2026 combine measurements,Sports-Reference,secondary_creator,forward_big,81.5,211.0,83.5,2.0,SF,SF,calibrated,29.7,16.7,6.3,2.3,1.0,0.6,2.3,29.0,14.8,12.6,1.9,2.7,6.7,17.0,0.534,8.4,5.1,3.3,0.399,0.43,0.333,12.7,0.322,0.578,0.79,True,,0.17313359953832208,0.7331475214725193,0.09371887898915868,0.8268664004616779,1.0,ROT+
2026018,Chris Cenac Jr.,2026,18,Houston,3.0,PF/C,Freshman,PF/C,2025-26,FR,19.4,18,Sporting News 2026 combine measurements,Sports-Reference,rim_runner,forward_big,82.25,240.0,89.0,6.75,PF,PF,calibrated,24.8,9.5,7.9,0.7,0.8,0.5,0.9,19.9,5.5,9.3,1.9,2.6,10.1,26.1,0.546,7.5,3.7,3.8,0.485,0.551,0.333,11.7,0.305,0.197,0.621,True,,0.3316218826288645,0.5801262320397803,0.08825188533135521,0.6683781173711355,1.0,ROT+
