player_id,player_name,draft_year,pick_number,college,prospect_archetype,size_bucket,tier,is_star,is_all_nba_first_5,star_level,first_all_nba_season,first_all_nba_year_in_league,best_all_nba_team_first_5,all_nba_selections_first_5,is_starter,is_rotation,height_wo_shoes,weight,wingspan,wingspan_height_diff,actual_tier_label,source,experiment,train_through_year,scored,missing_features,p_out,p_rot_plus,p_star,rotation_plus_prob,pred_tier3,pred_tier
1630604,E.J. Liddell,2022,41,Ohio State,rim_protector,guard,0.0,False,False,0,,,,0,False,False,77.5,243.0,83.75,6.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8431316857257859,0.1509094381680861,0.005958876106127983,0.1568683142742141,0.0,OUT
1631101,Shaedon Sharpe,2022,7,Kentucky,role_path,guard,2.0,False,False,0,,,,0,True,True,76.25,198.0,83.5,7.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,False,"college_usg_pct,college_ast_pct,college_tov_pct,college_ts_pct,college_efg_pct,college_ftr,college_fg3a_rate,college_fg3_pct,college_ft_pct,college_fg_pct,college_mpg,pts_per_40,ast_per_40,years_in_college,college_usg_pct_fold_expected,college_usg_pct_fold_vs_expected,college_ast_pct_fold_expected,college_ast_pct_fold_vs_expected,college_tov_pct_fold_expected,college_tov_pct_fold_vs_expected,college_ftr_fold_expected,college_ftr_fold_vs_expected,college_fg3a_rate_fold_expected,college_fg3a_rate_fold_vs_expected,college_ast_pct_usage_fold_expected,college_ast_pct_usage_fold_adjusted,college_tov_pct_usage_fold_expected,college_tov_pct_usage_fold_adjusted,college_ftr_usage_fold_expected,college_ftr_usage_fold_adjusted,college_fg3a_rate_usage_fold_expected,college_fg3a_rate_usage_fold_adjusted,final_ast_pct_season_fold_residual,final_tov_pct_season_fold_residual,final_ts_pct_season_fold_residual,final_ftr_season_fold_residual,fresh_ast_pct_season_fold_residual,fresh_tov_pct_season_fold_residual,fresh_ts_pct_season_fold_residual,fresh_ftr_season_fold_residual,avg_ast_pct_season_fold_residual,avg_tov_pct_season_fold_residual,avg_ts_pct_season_fold_residual,avg_ftr_season_fold_residual,max_ast_pct_season_fold_residual,max_tov_pct_season_fold_residual,max_ts_pct_season_fold_residual,max_ftr_season_fold_residual,traj_ast_pct_season_fold_residual,traj_tov_pct_season_fold_residual,traj_ts_pct_season_fold_residual,traj_ftr_season_fold_residual,wavg_ast_pct_season_fold_residual,wavg_tov_pct_season_fold_residual,wavg_ts_pct_season_fold_residual,wavg_ftr_season_fold_residual",,,,,,UNSCORED_MISSING_DATA
1631218,Trayce Jackson-Davis,2023,57,Indiana,rim_runner,wing,0.0,False,False,0,,,,0,False,False,80.25,240.4,85.0,4.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.22487113194255193,0.6167511294516704,0.15837773860577764,0.7751288680574481,1.0,ROT+
1641706,Brandon Miller,2023,2,Alabama,secondary_creator,forward_big,0.0,False,False,0,,,,0,False,False,81.0,200.0,83.0,2.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.42422254067807663,0.42461105202050176,0.15116640730142158,0.5757774593219234,0.0,OUT
1641721,Maxwell Lewis,2023,40,Pepperdine,secondary_creator,wing,0.0,False,False,0,,,,0,False,False,78.25,207.2,84.0,5.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5245382823354892,0.33142344363669035,0.1440382740278205,0.47546171766451084,0.0,OUT
1641726,Dereck Lively II,2023,12,Duke,rim_runner,center,0.0,False,False,0,,,,0,False,False,85,230.0,91.0,7.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5951053290584984,0.3460369235704485,0.058857747371053044,0.40489467094150156,0.0,OUT
1631170,Jaime Jaquez Jr.,2023,18,California-Los Angeles,role_player,wing,0.0,False,False,0,,,,0,False,False,78.0,226.4,81.5,3.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.4478112099590368,0.4991560388473887,0.05303275119357453,0.5521887900409632,0.0,OUT
1641717,Cason Wallace,2023,10,Kentucky,secondary_creator,small_guard,0.0,False,False,0,,,,0,False,False,74.5,195.2,80.5,6.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5657024972003711,0.38324943761525543,0.051048065184373395,0.4342975027996288,0.0,OUT
1641707,Taylor Hendricks,2023,9,Central Florida,stretch_big,wing,0.0,False,False,0,,,,0,False,False,80.25,213.6,84.5,4.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8488042090499781,0.10843164508041783,0.04276414586960406,0.1511957909500219,0.0,OUT
1641710,Anthony Black,2023,6,Arkansas,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,77.75,210.0,79.5,1.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5807480390874726,0.3793768123901879,0.039875148522339525,0.4192519609125274,0.0,OUT
1641720,Jalen Hood-Schifino,2023,17,Indiana,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,76.25,216.6,82.25,6.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7534183154186141,0.20718179451817742,0.03939989006320839,0.2465816845813858,0.0,OUT
1631204,Marcus Sasser,2023,25,Houston,offensive_wing,small_guard,0.0,False,False,0,,,,0,False,False,73.25,195.6,79.0,5.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.49377351634569455,0.4702224322759439,0.03600405137836153,0.5062264836543054,0.0,OUT
1641711,Gradey Dick,2023,13,Kansas,two_way_wing,wing,0.0,False,False,0,,,,0,False,False,78.25,204.0,80.75,2.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.5273875604373209,0.43979309141778344,0.032819348144895656,0.4726124395626791,0.0,OUT
1641732,Colby Jones,2023,34,Xavier,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,76.5,199.2,80.0,3.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7661906843306638,0.20261025604211116,0.03119905962722499,0.23380931566933616,0.0,OUT
1641764,Brandin Podziemski,2023,19,Santa Clara,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,75.75,203.8,77.5,1.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6939486525352665,0.27677027332514686,0.029281074139586704,0.30605134746473356,0.0,OUT
1641735,Amari Bailey,2023,41,California-Los Angeles,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,75.25,190.8,79.0,3.75,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.8372052665023325,0.13526027641894747,0.027534457078720008,0.1627947334976675,0.0,OUT
1641716,Jarace Walker,2023,8,Houston,rim_protector,wing,0.0,False,False,0,,,,0,False,False,78.5,248.6,86.5,8.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6824724167413694,0.29123964167117256,0.026287941587458074,0.3175275832586306,0.0,OUT
1641767,Ben Sheppard,2023,26,Belmont,two_way_wing,guard,0.0,False,False,0,,,,0,False,False,77.25,194.6,79.75,2.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7339472016646874,0.23978592635939314,0.02626687197591953,0.26605279833531265,0.0,OUT
1641723,Kobe Bufkin,2023,15,Michigan,offensive_wing,guard,0.0,False,False,0,,,,0,False,False,76.25,186.8,79.75,3.5,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.822994887960471,0.1530621143959422,0.023942997643586802,0.177005112039529,0.0,OUT
1641740,Jaylen Clark,2023,53,California-Los Angeles,two_way_wing,guard,0.0,False,False,0,,,,0,False,False,76.0,204.2,81.0,5.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.4805636487011995,0.49782837257663204,0.02160797872216849,0.5194363512988005,0.0,OUT
1631243,Mouhamed Gueye,2023,39,Washington State,rim_runner,forward_big,0.0,False,False,0,,,,0,False,False,82.25,212.6,87.25,5.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.581146947315512,0.3977653028191733,0.021087749865314715,0.418853052684488,0.0,OUT
1641733,Nick Smith Jr.,2023,27,Arkansas,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,77.0,185.0,81.0,4.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7289035277812674,0.2503716641412945,0.02072480807743803,0.27109647221873256,0.0,OUT
1641748,Andre Jackson Jr.,2023,36,Connecticut,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,77.5,198.4,81.75,4.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7600215148925986,0.2192709132347055,0.02070757187269588,0.23997848510740136,0.0,OUT
1641718,Keyonte George,2023,16,Baylor,secondary_creator,guard,0.0,False,False,0,,,,0,False,False,76.0,185.0,77.0,1.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.7718007672666826,0.20774351411624872,0.020455718617068703,0.22819923273331744,0.0,OUT
1641757,Jordan Miller,2023,48,Miami (FL),offensive_wing,guard,0.0,False,False,0,,,,0,False,False,76.5,191.6,83.75,7.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6605037596849299,0.3191972393224055,0.020299000992664518,0.33949624031507003,0.0,OUT
1629618,Jalen Pickett,2023,32,Penn State,primary_creator,small_guard,0.0,False,False,0,,,,0,False,False,74.0,197.8,79.25,5.25,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.9000949247589308,0.08072805162038811,0.01917702362068111,0.09990507524106922,0.0,OUT
1641724,Jett Howard,2023,11,Michigan,two_way_wing,wing,0.0,False,False,0,,,,0,False,False,80.0,215.0,81.0,1.0,UNSCORED,trained_through_2021_post_2021_projection,clean_adjusted_internal_two_stage,2021,True,,0.6479727324270226,0.3328957422196794,0.019131525353298044,0.3520272675729774,0.0,OUT
